iter	Passed	Remaining
337	3386	6631
338	3394	6618
339	3397	6596
340	3411	6593
341	3425	6591
342	3432	6573
343	3444	6569
344	3447	6545
345	3454	6528
346	3456	6504
347	3459	6481
348	3462	6457
349	3473	6450
350	3475	6427
351	3495	6435
352	3499	6414
353	3502	6391
354	3512	6381
355	3516	6361
356	3519	6339
357	3527	6326
358	3531	6304
359	3534	6283
360	3546	6277
361	3549	6255
362	3559	6246
363	3581	6257
364	3593	6252
365	3598	6232
366	3607	6222
367	3612	6203
368	3615	6183
369	3623	6169
370	3631	6156
371	3659	6177
372	3692	6206
373	3695	6185
374	3702	6170
375	3709	6156
376	3712	6135
377	3721	6123
378	3724	6102
379	3727	6081
380	3731	6061
381	3755	6076
382	3758	6055
383	3770	6048
384	3777	6034
385	3789	6028
386	3792	6007
387	3801	5995
388	3804	5976
389	3807	5955
390	3810	5934
391	3817	5921
392	3820	5900
393	3823	5880
394	3864	5918
395	3867	5898
396	3870	5878
397	3873	5858
398	3884	5850
399	3916	5874
400	3933	5875
401	3936	5855
402	3942	5840
403	3945	5821
